SenPai Scanner — live results
Started: 2026-06-05 01:23:49
Updated: 2026-06-05 01:24:50
Plan: Phase 1 connectivity, then Phase 2 xray validation

=== Phase 1 — connectivity (661 healthy / 1758 probed) ===

  ENDPOINT                   LOSS    AVG(ms)      COLO  STATUS
  162.159.160.159:443        0.0%     357.00  FRA       healthy
  104.19.40.169:443          0.0%     357.00  FRA       healthy
  162.159.93.209:443         0.0%     358.00  FRA       healthy
  104.24.203.246:443         0.0%     358.00  FRA       healthy
  104.18.91.20:443           0.0%     358.00  FRA       healthy
  108.162.195.72:443         0.0%     358.00  FRA       healthy
  104.18.2.249:443           0.0%     358.00  FRA       healthy
  104.24.142.22:443          0.0%     358.00  FRA       healthy
  190.93.247.255:443         0.0%     358.00  FRA       healthy
  141.101.120.198:443        0.0%     358.00  FRA       healthy
  141.101.115.216:443        0.0%     358.00  FRA       healthy
  141.101.120.200:443        0.0%     358.00  FRA       healthy
  198.41.197.13:443          0.0%     358.00  FRA       healthy
  190.93.245.179:443         0.0%     358.00  FRA       healthy
  190.93.247.91:443          0.0%     358.00  FRA       healthy
  108.162.195.71:443         0.0%     358.00  FRA       healthy
  104.19.0.66:443            0.0%     358.00  FRA       healthy
  104.18.112.233:443         0.0%     359.00  FRA       healthy
  190.93.246.251:443         0.0%     359.00  FRA       healthy
  162.159.251.45:443         0.0%     359.00  FRA       healthy
  173.245.58.163:443         0.0%     359.00  FRA       healthy
  104.19.228.62:443          0.0%     359.00  FRA       healthy
  104.17.213.3:443           0.0%     359.00  FRA       healthy
  104.25.254.187:443         0.0%     359.00  FRA       healthy
  141.101.120.202:443        0.0%     359.00  FRA       healthy
  108.162.195.73:443         0.0%     359.00  FRA       healthy
  104.24.153.8:443           0.0%     359.00  FRA       healthy
  104.19.228.64:443          0.0%     359.00  FRA       healthy
  104.16.251.75:443          0.0%     359.00  FRA       healthy
  104.16.197.242:443         0.0%     359.00  FRA       healthy
  104.17.56.163:443          0.0%     359.00  FRA       healthy
  104.27.125.255:443         0.0%     360.00  FRA       healthy
  104.21.84.6:443            0.0%     360.00  MXP       healthy
  198.41.192.89:443          0.0%     360.00  FRA       healthy
  104.16.38.178:443          0.0%     360.00  FRA       healthy
  104.27.52.159:443          0.0%     360.00  FRA       healthy
  190.93.244.134:443         0.0%     360.00  FRA       healthy
  104.25.197.125:443         0.0%     360.00  FRA       healthy
  104.25.214.185:443         0.0%     360.00  FRA       healthy
  104.18.247.15:443          0.0%     360.00  FRA       healthy
  104.19.56.40:443           0.0%     360.00  FRA       healthy
  173.245.49.230:443         0.0%     360.00  FRA       healthy
  104.19.89.28:443           0.0%     361.00  FRA       healthy
  190.93.245.50:443          0.0%     361.00  FRA       healthy
  104.25.60.15:443           0.0%     361.00  FRA       healthy
  162.159.33.129:443         0.0%     361.00  FRA       healthy
  162.159.58.203:443         0.0%     361.00  FRA       healthy
  162.159.247.41:443         0.0%     361.00  FRA       healthy
  104.25.151.86:443          0.0%     361.00  FRA       healthy
  104.25.197.126:443         0.0%     361.00  FRA       healthy
  141.101.115.195:443        0.0%     362.00  FRA       healthy
  172.67.189.25:443          0.0%     362.00  MXP       healthy
  162.159.58.210:443         0.0%     362.00  FRA       healthy
  104.25.143.87:443          0.0%     362.00  FRA       healthy
  104.25.68.14:443           0.0%     362.00  FRA       healthy
  104.25.254.186:443         0.0%     363.00  FRA       healthy
  104.16.56.148:443          0.0%     363.00  FRA       healthy
  104.24.203.249:443         0.0%     363.00  FRA       healthy
  104.24.153.9:443           0.0%     364.00  FRA       healthy
  141.101.114.106:443        0.0%     364.00  FRA       healthy
  104.21.225.166:443         0.0%     364.00  MXP       healthy
  104.24.23.153:443          0.0%     364.00  FRA       healthy
  104.24.203.110:443         0.0%     364.00  FRA       healthy
  190.93.246.248:443         0.0%     364.00  FRA       healthy
  173.245.49.232:443         0.0%     364.00  FRA       healthy
  162.159.9.23:443           0.0%     365.00  FRA       healthy
  104.19.56.34:443           0.0%     365.00  FRA       healthy
  104.25.163.43:443          0.0%     366.00  FRA       healthy
  198.41.211.122:443         0.0%     366.00  FRA       healthy
  104.25.151.85:443          0.0%     366.00  FRA       healthy
  104.17.56.160:443          0.0%     366.00  FRA       healthy
  141.101.114.39:443         0.0%     367.00  FRA       healthy
  104.21.200.187:443         0.0%     374.00  MXP       healthy
  104.27.52.215:443         33.3%     381.00  FRA       healthy
  162.159.8.141:443         33.3%     382.00  FRA       healthy
  104.27.52.219:443         33.3%     387.00  FRA       healthy
  188.114.97.217:443         0.0%     387.00  MXP       healthy
  172.67.130.168:443         0.0%     387.00  FCO       healthy
  104.18.91.22:443           0.0%     393.00  FRA       healthy
  108.162.198.44:443         0.0%     397.00  VIE       healthy
  172.64.84.97:443           0.0%     398.00  FRA       healthy
  104.25.68.16:443           0.0%     398.00  FRA       healthy
  104.21.225.168:443         0.0%     398.00  MXP       healthy
  190.93.247.15:443          0.0%     399.00  FRA       healthy
  104.17.56.161:443          0.0%     402.00  FRA       healthy
  104.19.135.121:443         0.0%     402.00  FRA       healthy
  104.17.81.77:443           0.0%     402.00  FRA       healthy
  108.162.193.213:443        0.0%     403.00  FRA       healthy
  104.25.198.206:443         0.0%     403.00  FRA       healthy
  104.19.92.187:443          0.0%     404.00  FRA       healthy
  188.114.99.66:443          0.0%     421.00  MXP       healthy
  104.21.14.129:443          0.0%     431.00  MXP       healthy
  173.245.49.234:443         0.0%     445.00  FRA       healthy
  108.162.198.47:443         0.0%     446.00  VIE       healthy
  141.101.120.199:443        0.0%     447.00  FRA       healthy
  162.159.160.156:443        0.0%     448.00  FRA       healthy
  104.19.92.186:443          0.0%     448.00  FRA       healthy
  104.25.163.44:443          0.0%     449.00  FRA       healthy
  104.27.37.254:443          0.0%     450.00  FRA       healthy
  190.93.244.78:443          0.0%     451.00  FRA       healthy
  104.25.197.124:443         0.0%     451.00  FRA       healthy
  162.159.93.207:443         0.0%     451.00  FRA       healthy
  104.25.170.179:443         0.0%     451.00  FRA       healthy
  104.25.187.204:443         0.0%     451.00  FRA       healthy
  104.24.216.84:443          0.0%     452.00  FRA       healthy
  141.101.114.155:443        0.0%     452.00  FRA       healthy
  198.41.215.49:443          0.0%     452.00  FRA       healthy
  104.19.135.122:443         0.0%     452.00  FRA       healthy
  104.24.159.53:443          0.0%     452.00  FRA       healthy
  104.19.89.27:443           0.0%     452.00  FRA       healthy
  141.101.114.153:443        0.0%     453.00  FRA       healthy
  104.19.231.165:443         0.0%     453.00  FRA       healthy
  104.17.56.157:443          0.0%     453.00  FRA       healthy
  190.93.247.17:443          0.0%     454.00  FRA       healthy
  104.27.52.214:443          0.0%     454.00  FRA       healthy
  104.20.41.24:443           0.0%     455.00  FRA       healthy
  104.25.65.72:443           0.0%     456.00  FRA       healthy
  104.19.88.102:443          0.0%     456.00  FRA       healthy
  198.41.215.48:443          0.0%     457.00  FRA       healthy
  190.93.245.128:443         0.0%     457.00  FRA       healthy
  104.19.0.67:443            0.0%     457.00  FRA       healthy
  188.114.97.58:443          0.0%     459.00  MXP       healthy
  162.159.58.204:443         0.0%     460.00  FRA       healthy
  104.25.198.207:443         0.0%     462.00  FRA       healthy
  104.27.31.85:443           0.0%     464.00  FRA       healthy
  198.41.192.88:443          0.0%     470.00  FRA       healthy
  104.27.34.81:443           0.0%     473.00  FRA       healthy
  104.24.216.82:443          0.0%     477.00  FRA       healthy
  162.159.33.130:443         0.0%     484.00  FRA       healthy
  104.24.153.13:443          0.0%     486.00  FRA       healthy
  104.19.228.63:443          0.0%     490.00  FRA       healthy
  104.17.134.201:443         0.0%     491.00  FRA       healthy
  108.162.193.209:443        0.0%     491.00  FRA       healthy
  104.20.41.26:443           0.0%     494.00  FRA       healthy
  172.67.130.164:443         0.0%     495.00  VIE       healthy
  104.19.228.65:443          0.0%     496.00  FRA       healthy
  104.18.212.166:443         0.0%     499.00  FRA       healthy
  104.19.192.193:443         0.0%     504.00  FRA       healthy
  104.16.197.240:443         0.0%     527.00  FRA       healthy
  104.25.187.201:443         0.0%     550.00  FRA       healthy
  190.93.245.127:443         0.0%     555.00  FRA       healthy
  188.114.97.102:443        33.3%     565.00  MXP       healthy
  103.31.4.3:443             0.0%     574.00  IAD       healthy
  103.31.4.150:443           0.0%     579.00  IAD       healthy
  103.31.4.197:443           0.0%     579.00  IAD       healthy
  103.31.4.125:443           0.0%     580.00  IAD       healthy
  103.31.4.132:443           0.0%     581.00  IAD       healthy
  103.31.4.4:443             0.0%     581.00  IAD       healthy
  103.31.4.199:443           0.0%     582.00  IAD       healthy
  103.31.4.144:443           0.0%     583.00  IAD       healthy
  103.31.4.26:443            0.0%     583.00  IAD       healthy
  103.31.4.193:443           0.0%     587.00  IAD       healthy
  103.31.4.131:443           0.0%     588.00  IAD       healthy
  103.31.4.147:443           0.0%     588.00  IAD       healthy
  103.31.4.200:443           0.0%     589.00  IAD       healthy
  190.93.244.55:443          0.0%     589.00  FRA       healthy
  103.31.4.128:443           0.0%     592.00  IAD       healthy
  103.31.4.5:443             0.0%     593.00  IAD       healthy
  103.31.4.130:443           0.0%     595.00  IAD       healthy
  162.159.237.27:443         0.0%     596.00  MIA       healthy
  108.162.193.211:443        0.0%     602.00  FRA       healthy
  103.31.4.7:443             0.0%     604.00  IAD       healthy
  162.159.160.157:443        0.0%     655.00  FRA       healthy
  190.93.246.250:443         0.0%     657.00  FRA       healthy
  103.31.4.148:443           0.0%     664.00  IAD       healthy
  103.31.4.224:443           0.0%     666.00  IAD       healthy
  103.31.4.146:443           0.0%     668.00  IAD       healthy
  103.31.4.228:443           0.0%     671.00  IAD       healthy
  104.21.1.214:443           0.0%     676.00  MXP       healthy
  103.31.4.127:443           0.0%     676.00  IAD       healthy
  103.31.4.25:443            0.0%     676.00  IAD       healthy
  103.31.4.129:443           0.0%     676.00  IAD       healthy
  103.31.4.194:443           0.0%     679.00  IAD       healthy
  103.31.4.149:443           0.0%     679.00  IAD       healthy
  162.159.237.28:443         0.0%     684.00  MIA       healthy
  162.159.58.206:443         0.0%     693.00  FRA       healthy
  103.31.4.202:443           0.0%     857.00  IAD       healthy
