SenPai Scanner — live results
Started: 2026-06-05 01:23:49
Updated: 2026-06-05 01:24:50
Plan: Phase 1 connectivity, then Phase 2 xray validation

=== Phase 1 — connectivity (661 healthy / 1758 probed) ===

  ENDPOINT                   LOSS    AVG(ms)      COLO  STATUS
  104.18.142.75:443          0.0%     313.00  FRA       healthy
  162.159.58.202:443         0.0%     313.00  FRA       healthy
  108.162.192.198:443        0.0%     313.00  FRA       healthy
  104.25.198.205:443         0.0%     313.00  FRA       healthy
  104.25.198.204:443         0.0%     313.00  FRA       healthy
  104.18.166.47:443          0.0%     313.00  FRA       healthy
  188.114.97.189:443         0.0%     313.00  MXP       healthy
  198.41.215.51:443          0.0%     313.00  FRA       healthy
  104.25.200.204:443         0.0%     313.00  FRA       healthy
  104.27.34.79:443           0.0%     313.00  FRA       healthy
  104.26.13.91:443           0.0%     314.00  FRA       healthy
  104.24.130.184:443         0.0%     314.00  FRA       healthy
  188.114.97.101:443         0.0%     314.00  MXP       healthy
  104.24.153.12:443          0.0%     314.00  FRA       healthy
  198.41.209.92:443          0.0%     314.00  FRA       healthy
  188.114.99.64:443          0.0%     314.00  MXP       healthy
  190.93.244.77:443          0.0%     314.00  FRA       healthy
  104.24.203.108:443         0.0%     314.00  FRA       healthy
  104.25.197.122:443         0.0%     314.00  FRA       healthy
  141.101.114.42:443         0.0%     314.00  FRA       healthy
  172.64.84.98:443           0.0%     314.00  FRA       healthy
  104.25.125.24:443          0.0%     314.00  FRA       healthy
  172.67.189.24:443          0.0%     314.00  MXP       healthy
  172.64.84.95:443           0.0%     314.00  FRA       healthy
  104.17.239.184:443         0.0%     314.00  FRA       healthy
  104.24.216.80:443          0.0%     314.00  FRA       healthy
  188.114.97.130:443         0.0%     314.00  MXP       healthy
  104.25.163.42:443          0.0%     314.00  FRA       healthy
  190.93.244.52:443          0.0%     314.00  FRA       healthy
  104.24.203.251:443         0.0%     314.00  FRA       healthy
  104.19.248.164:443        33.3%     314.00  FRA       healthy
  104.24.142.86:443          0.0%     314.00  FRA       healthy
  198.41.202.223:443         0.0%     314.00  FRA       healthy
  172.67.96.250:443          0.0%     314.00  FRA       healthy
  104.18.2.247:443           0.0%     314.00  FRA       healthy
  104.24.130.183:443         0.0%     314.00  FRA       healthy
  104.24.188.181:443         0.0%     314.00  FRA       healthy
  104.19.56.38:443           0.0%     314.00  FRA       healthy
  190.93.247.90:443          0.0%     314.00  FRA       healthy
  104.19.56.30:443           0.0%     314.00  FRA       healthy
  104.25.254.185:443         0.0%     314.00  FRA       healthy
  104.17.56.159:443         33.3%     314.00  FRA       healthy
  190.93.246.79:443          0.0%     314.00  FRA       healthy
  104.18.142.77:443          0.0%     314.00  FRA       healthy
  104.19.192.196:443         0.0%     314.00  FRA       healthy
  198.41.217.91:443          0.0%     314.00  FRA       healthy
  172.67.126.37:443          0.0%     314.00  FRA       healthy
  190.93.246.80:443          0.0%     314.00  FRA       healthy
  172.67.96.252:443          0.0%     314.00  FRA       healthy
  104.24.130.187:443         0.0%     314.00  FRA       healthy
  104.19.23.220:443          0.0%     314.00  FRA       healthy
  104.24.202.245:443         0.0%     314.00  FRA       healthy
  104.24.203.109:443         0.0%     314.00  FRA       healthy
  104.17.213.1:443           0.0%     314.00  FRA       healthy
  190.93.244.132:443         0.0%     314.00  FRA       healthy
  141.101.114.43:443         0.0%     314.00  FRA       healthy
  104.27.52.216:443          0.0%     314.00  FRA       healthy
  104.16.197.241:443         0.0%     314.00  FRA       healthy
  104.25.67.241:443          0.0%     314.00  FRA       healthy
  108.162.196.131:443        0.0%     314.00  FRA       healthy
  190.93.244.225:443         0.0%     314.00  FRA       healthy
  104.27.52.158:443         33.3%     314.00  FRA       healthy
  104.25.188.31:443          0.0%     314.00  FRA       healthy
  104.25.67.239:443          0.0%     315.00  FRA       healthy
  188.114.98.165:443         0.0%     315.00  MXP       healthy
  190.93.246.157:443         0.0%     315.00  FRA       healthy
  104.18.91.21:443           0.0%     315.00  FRA       healthy
  162.159.9.19:443           0.0%     315.00  FRA       healthy
  104.24.203.248:443         0.0%     315.00  FRA       healthy
  104.27.31.84:443           0.0%     315.00  FRA       healthy
  104.25.187.202:443         0.0%     315.00  FRA       healthy
  141.101.115.199:443        0.0%     315.00  FRA       healthy
  104.25.65.73:443           0.0%     315.00  FRA       healthy
  108.162.192.201:443        0.0%     315.00  FRA       healthy
  104.24.23.155:443          0.0%     315.00  FRA       healthy
  104.27.31.86:443          33.3%     315.00  FRA       healthy
  104.25.157.145:443         0.0%     315.00  FRA       healthy
  104.24.203.253:443         0.0%     315.00  FRA       healthy
  108.162.192.200:443        0.0%     315.00  FRA       healthy
  198.41.211.129:443         0.0%     315.00  FRA       healthy
  104.24.203.111:443         0.0%     315.00  FRA       healthy
  198.41.192.87:443          0.0%     315.00  FRA       healthy
  104.19.0.64:443            0.0%     315.00  FRA       healthy
  104.27.52.221:443          0.0%     315.00  FRA       healthy
  104.16.19.230:443          0.0%     315.00  FRA       healthy
  104.27.126.2:443           0.0%     315.00  FRA       healthy
  172.67.126.38:443          0.0%     315.00  FRA       healthy
  173.245.58.162:443         0.0%     315.00  FRA       healthy
  104.16.93.125:443          0.0%     315.00  FRA       healthy
  104.24.203.247:443         0.0%     315.00  FRA       healthy
  198.41.202.221:443         0.0%     315.00  FRA       healthy
  104.25.214.186:443         0.0%     315.00  FRA       healthy
  172.64.84.99:443           0.0%     315.00  FRA       healthy
  162.159.247.38:443         0.0%     315.00  FRA       healthy
  104.17.212.253:443         0.0%     315.00  FRA       healthy
  198.41.215.44:443         33.3%     315.00  FRA       healthy
  162.159.160.154:443        0.0%     315.00  FRA       healthy
  198.41.217.87:443          0.0%     315.00  FRA       healthy
  104.25.187.203:443         0.0%     315.00  FRA       healthy
  190.93.246.245:443         0.0%     315.00  FRA       healthy
  108.162.193.208:443        0.0%     315.00  FRA       healthy
  190.93.247.252:443        33.3%     315.00  FRA       healthy
  104.24.216.81:443          0.0%     315.00  FRA       healthy
  104.25.197.123:443         0.0%     315.00  FRA       healthy
  172.64.84.100:443         33.3%     315.00  FRA       healthy
  141.101.114.152:443        0.0%     315.00  FRA       healthy
  141.101.115.87:443         0.0%     315.00  FRA       healthy
  188.114.99.68:443          0.0%     315.00  MXP       healthy
  104.18.212.172:443        33.3%     315.00  FRA       healthy
  173.245.58.161:443         0.0%     315.00  FRA       healthy
  190.93.247.93:443          0.0%     315.00  FRA       healthy
  104.25.33.67:443           0.0%     315.00  FRA       healthy
  104.19.212.153:443         0.0%     315.00  FRA       healthy
  141.101.114.104:443        0.0%     315.00  FRA       healthy
  172.67.242.235:443         0.0%     315.00  MXP       healthy
  162.159.3.14:443           0.0%     315.00  FRA       healthy
  162.159.160.153:443        0.0%     315.00  FRA       healthy
  198.41.211.128:443         0.0%     315.00  FRA       healthy
  104.19.56.28:443           0.0%     315.00  FRA       healthy
  190.93.246.246:443         0.0%     315.00  FRA       healthy
  104.19.23.221:443          0.0%     316.00  FRA       healthy
  104.24.23.150:443          0.0%     316.00  FRA       healthy
  104.25.162.187:443         0.0%     316.00  FRA       healthy
  104.18.212.165:443        33.3%     316.00  FRA       healthy
  104.17.203.247:443         0.0%     316.00  FRA       healthy
  141.101.122.100:443        0.0%     316.00  FRA       healthy
  104.24.23.156:443          0.0%     316.00  FRA       healthy
  141.101.120.224:443        0.0%     316.00  FRA       healthy
  104.18.212.170:443        33.3%     316.00  FRA       healthy
  104.27.126.1:443           0.0%     316.00  FRA       healthy
  104.24.142.88:443          0.0%     316.00  FRA       healthy
  190.93.247.12:443          0.0%     316.00  FRA       healthy
  104.19.192.195:443         0.0%     316.00  FRA       healthy
  198.41.200.4:443           0.0%     316.00  FRA       healthy
  190.93.244.136:443         0.0%     316.00  FRA       healthy
  162.159.33.125:443         0.0%     316.00  FRA       healthy
  104.24.142.26:443          0.0%     316.00  FRA       healthy
  104.25.33.69:443           0.0%     316.00  FRA       healthy
  198.41.202.218:443         0.0%     316.00  FRA       healthy
  104.18.198.149:443         0.0%     316.00  FRA       healthy
  104.19.192.192:443         0.0%     316.00  FRA       healthy
  104.19.96.211:443          0.0%     316.00  FRA       healthy
  104.27.126.0:443           0.0%     316.00  FRA       healthy
  104.19.231.166:443         0.0%     316.00  FRA       healthy
  104.19.56.31:443           0.0%     316.00  FRA       healthy
  188.114.97.218:443         0.0%     316.00  MXP       healthy
  104.19.56.32:443           0.0%     316.00  FRA       healthy
  104.24.216.83:443          0.0%     316.00  FRA       healthy
  162.159.147.115:443        0.0%     316.00  FRA       healthy
  190.93.244.53:443         33.3%     316.00  FRA       healthy
  190.93.247.89:443          0.0%     316.00  FRA       healthy
  104.24.203.250:443         0.0%     316.00  FRA       healthy
  162.159.58.199:443         0.0%     316.00  FRA       healthy
  162.159.33.126:443         0.0%     316.00  FRA       healthy
  190.93.245.126:443         0.0%     316.00  FRA       healthy
  104.18.212.167:443         0.0%     316.00  FRA       healthy
  198.41.202.219:443        33.3%     316.00  FRA       healthy
  190.93.245.180:443         0.0%     316.00  FRA       healthy
  104.27.66.14:443           0.0%     316.00  FRA       healthy
  141.101.114.103:443        0.0%     316.00  FRA       healthy
  104.25.67.240:443          0.0%     316.00  FRA       healthy
  108.162.193.212:443        0.0%     316.00  FRA       healthy
  198.41.197.16:443          0.0%     316.00  FRA       healthy
  104.25.200.203:443         0.0%     316.00  FRA       healthy
  104.24.142.28:443          0.0%     316.00  FRA       healthy
  104.19.0.69:443            0.0%     316.00  FRA       healthy
  104.20.41.23:443           0.0%     316.00  FRA       healthy
  190.93.247.14:443          0.0%     316.00  FRA       healthy
  190.93.244.130:443         0.0%     316.00  FRA       healthy
  104.19.0.65:443            0.0%     316.00  FRA       healthy
  198.41.217.90:443          0.0%     316.00  FRA       healthy
  190.93.245.129:443         0.0%     316.00  FRA       healthy
  190.93.247.16:443          0.0%     316.00  FRA       healthy
  104.24.188.182:443         0.0%     316.00  FRA       healthy
  173.245.59.72:443          0.0%     316.00  FRA       healthy
  108.162.192.199:443        0.0%     317.00  FRA       healthy
  198.41.197.12:443          0.0%     317.00  FRA       healthy
  162.159.9.22:443           0.0%     317.00  FRA       healthy
  141.101.114.105:443        0.0%     317.00  FRA       healthy
  104.19.192.190:443         0.0%     317.00  FRA       healthy
  104.24.2.19:443            0.0%     317.00  FRA       healthy
  104.19.228.66:443          0.0%     317.00  FRA       healthy
  104.18.212.169:443         0.0%     317.00  FRA       healthy
  104.27.123.183:443         0.0%     317.00  FRA       healthy
  104.24.153.6:443           0.0%     317.00  FRA       healthy
  162.159.58.205:443        33.3%     317.00  FRA       healthy
  162.159.9.20:443           0.0%     317.00  FRA       healthy
  104.20.41.20:443           0.0%     317.00  FRA       healthy
  190.93.244.54:443          0.0%     317.00  FRA       healthy
  104.24.153.10:443          0.0%     317.00  FRA       healthy
  104.17.226.221:443        33.3%     317.00  FRA       healthy
  172.67.126.36:443         33.3%     317.00  FRA       healthy
  104.24.203.252:443         0.0%     317.00  FRA       healthy
  104.24.159.57:443          0.0%     317.00  FRA       healthy
  198.41.217.152:443         0.0%     317.00  FRA       healthy
  104.21.225.164:443         0.0%     317.00  MXP       healthy
  104.25.33.68:443           0.0%     317.00  FRA       healthy
  104.25.255.126:443         0.0%     317.00  FRA       healthy
  141.101.114.40:443         0.0%     317.00  FRA       healthy
  141.101.122.101:443        0.0%     317.00  FRA       healthy
  104.16.251.72:443          0.0%     317.00  FRA       healthy
  104.18.2.248:443           0.0%     317.00  FRA       healthy
  141.101.114.154:443        0.0%     317.00  FRA       healthy
  141.101.114.37:443         0.0%     317.00  FRA       healthy
  141.101.114.107:443        0.0%     317.00  FRA       healthy
  104.16.197.238:443         0.0%     317.00  FRA       healthy
  104.24.203.112:443         0.0%     317.00  FRA       healthy
  162.159.160.152:443        0.0%     317.00  FRA       healthy
  104.19.88.103:443          0.0%     317.00  FRA       healthy
  104.27.31.87:443           0.0%     317.00  FRA       healthy
  104.25.67.238:443          0.0%     317.00  FRA       healthy
  162.159.160.155:443        0.0%     317.00  FRA       healthy
  162.159.247.44:443         0.0%     317.00  FRA       healthy
  141.101.115.85:443         0.0%     317.00  FRA       healthy
  104.16.56.149:443          0.0%     317.00  FRA       healthy
  104.24.159.56:443         33.3%     317.00  FRA       healthy
  104.24.159.54:443          0.0%     317.00  FRA       healthy
  104.24.216.86:443          0.0%     317.00  FRA       healthy
  173.245.49.65:443          0.0%     317.00  FRA       healthy
  172.64.49.20:443           0.0%     317.00  FRA       healthy
  104.18.49.158:443          0.0%     317.00  FRA       healthy
  104.19.212.151:443         0.0%     317.00  FRA       healthy
  104.17.213.2:443           0.0%     317.00  FRA       healthy
  104.24.153.7:443           0.0%     317.00  FRA       healthy
  162.159.33.124:443         0.0%     317.00  FRA       healthy
  104.17.226.223:443         0.0%     317.00  FRA       healthy
  198.41.215.138:443         0.0%     317.00  FRA       healthy
  172.67.114.59:443          0.0%     317.00  FRA       healthy
  104.20.41.22:443           0.0%     318.00  FRA       healthy
  172.64.84.96:443           0.0%     318.00  FRA       healthy
  104.24.130.186:443         0.0%     318.00  FRA       healthy
  162.159.247.43:443        33.3%     318.00  FRA       healthy
  190.93.245.144:443         0.0%     318.00  FRA       healthy
  190.93.246.247:443         0.0%     318.00  FRA       healthy
